dataset,baseline,n,em_percent,token_f1_percent,answer_hit_at_3_percent,answer_hit_all_percent,avg_latency_seconds,avg_retrieval_rounds,second_round_count,second_round_rate_percent,duplicate_followup_query_count,duplicate_documents_filtered,failure_count,timeout_count,empty_prediction_count
nq,B2,50,12.0,26.557520403647743,62.0,62.0,9.059452098160982,1.34,17,34.0,0,0,0,0,0
nq,B2.1,50,12.0,24.04349463409566,62.0,62.0,9.160720505909994,1.14,7,14.000000000000002,10,6,0,0,0
hotpotqa,B2,50,14.000000000000002,28.24500549732446,46.0,48.0,8.0441297824122,1.28,14,28.000000000000004,0,0,0,0,0
hotpotqa,B2.1,50,10.0,25.219716407329486,46.0,48.0,9.987524204272777,1.26,13,26.0,1,21,0,0,0
