dataset,baseline,samples,em_percent,token_f1_percent,answer_hit_at3_percent,answer_hit_all_percent,answer_hit_eligible_samples,support_recall_at3_percent,support_hit_at3_percent,full_support_at3_percent,support_recall_all_percent,support_hit_all_percent,full_support_all_percent,avg_latency_seconds,avg_retrieval_latency_seconds,avg_generation_latency_seconds,avg_retrieval_rounds,second_round_rate_percent,error_rate_percent,source_file
NQ,B0,50,8.0,18.009812107397245,,,0,,,,,,,0.43700915843248367,0.0,0.4358565193414688,0,0.0,0.0,outputs/b0_nq_smoke50_20260719_105902.jsonl
NQ,B1,50,14.000000000000002,26.43743402803505,62.0,62.0,50,,,,,,,6.953323566708714,6.496209372449666,0.45332677419297396,1,0.0,0.0,outputs/b1_nq_smoke50_20260719_112829.jsonl
NQ,B2,50,12.0,26.557520403647743,62.0,62.0,50,,,,,,,9.059452098160982,8.481329154940322,0.5717799790855497,1.34,34.0,0.0,outputs/b2_nq_smoke50_20260719_114839.jsonl
HotpotQA,B0,50,10.0,17.206748153806977,,,0,,,,,,,0.3894796403963119,0.0,0.38823402001522483,0,0.0,0.0,outputs/b0_hotpotqa_smoke50_20260719_105948.jsonl
HotpotQA,B1,50,10.0,25.48980187741496,43.90243902439025,43.90243902439025,41,43.0,74.0,12.0,43.0,74.0,12.0,7.1694080739934,6.701989752640948,0.4642047467920929,1,0.0,0.0,outputs/b1_hotpotqa_smoke50_20260719_113439.jsonl
HotpotQA,B2,50,14.000000000000002,28.24500549732446,43.90243902439025,48.78048780487805,41,43.0,74.0,12.0,44.0,74.0,14.000000000000002,8.0441297824122,7.44311455545947,0.5946319073066115,1.28,28.0,0.0,outputs/b2_hotpotqa_smoke50_20260719_120904.jsonl
